anonymized_response_id,case_id,tutor_mode,guard_mode,pipeline_mode,tutor_model_provider,chat_thinking_mode,final_response_source,repair_applied,blocked
resp_fb386321b7,cp_bridge_003,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_9be5fedce8,cp_bridge_014,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_6b10776054,cp_bridge_009,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_468c3623b0,cp_bridge_011,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_ec5fbb7789,cp_bridge_016,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_3d79cabc86,cp_bridge_009,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_042ee71e38,cp_bridge_011,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_e0190996f9,cp_bridge_016,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_497c37ff8b,cp_bridge_002,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_e11498adb3,cp_bridge_015,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_c9e781c752,cp_bridge_004,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_f3b55a531d,cp_bridge_005,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_b55548d0cd,cp_bridge_001,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_392c59134a,cp_bridge_001,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_a18b0cd59c,cp_bridge_016,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_862fded35c,cp_bridge_005,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_abf78ab67b,cp_bridge_008,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_9cf12204a1,cp_bridge_014,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_b50a10583a,cp_bridge_008,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_c0c6a936e1,cp_bridge_020,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_9d78d8525e,cp_bridge_019,current_system,predicted,tutor_only_no_diagnosis,deepseek_flash,disabled,candidate,false,false
resp_9f6e7ee3a1,cp_bridge_006,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_520fd69f66,cp_bridge_020,single_llm_structured,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_8a07603491,cp_bridge_014,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,repair,true,false
resp_02564408b8,cp_bridge_015,bridge_contract,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_866be2b7d8,cp_bridge_006,bridge_contract,predicted,tutor_plus_guard,deepseek_flash,disabled,candidate,false,false
resp_efdb08b968,cp_bridge_013,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_fdb608e1c6,cp_bridge_007,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_cb2bbeed25,cp_bridge_017,single_llm_structured,predicted,tutor_only,deepseek_flash,disabled,candidate,false,false
resp_dbdd2a0714,cp_bridge_015,single_llm_structured,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
resp_725ded21fe,cp_bridge_019,bridge_contract,predicted,tutor_plus_guard_plus_repair,deepseek_flash,disabled,candidate,false,false
